,C,Si,Mn,P,S,Ni,Cr,Mo,Ti,V,Cu,W,Sn,Al,Mg,Zn,Fe,ï‡óØÇ‹ÇË
ê_ç|SPëL,3.71,0.1,0.1,0.02,0.013,0.002,0,0,0,0,0,0,0,0,0,0,95.925,1
ç|ã˚,0.22,0.1,0.7,0.01,0,0.004,0,0.05,0,0,0,0,0,0,0,0,98.916,1
åÃëL,3.9,2.4,0.45,0.028,0.013,0.014,0.035,0.01,0.011,0,0.405,0,0,0,0.042,0.012,92.68,1
Cï≤,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
Fe-Si,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
Fe-Mn,7.3,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,1
Fe-P,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,70,1
Fe-S,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,55,1
èÉNi,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1
Fe-Cr,8,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,22,1
Fe-Mo,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,40,1
Fe-Ti,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,40,1
Fe-V,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,20,1
Cuã˚,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1
Fe-W,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,25,1
èÉSn,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1
èÉAl,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
